2025-03-23 00:25:14.511 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_261 on DESKTOP-9CD04US with PID 2892 (S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backendProject\backend-Api\target\classes started by FUCHI in S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backendProject\backend-Api)
2025-03-23 00:25:14.517 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2025-03-23 00:25:14.566 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-23 00:25:14.566 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-23 00:25:15.191 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-03-23 00:25:15.194 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-03-23 00:25:15.226 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2025-03-23 00:25:15.784 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-03-23 00:25:15.802 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-23 00:25:15.803 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-03-23 00:25:15.803 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2025-03-23 00:25:15.952 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-23 00:25:15.952 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1385 ms
2025-03-23 00:25:17.045 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-03-23 00:25:18.676 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-03-23 00:25:18.710 [restartedMain] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2025-03-23 00:25:18.719 [Druid-ConnectionPool-Create-1103469476] INFO  com.alibaba.druid.pool.DruidAbstractDataSource - {dataSource-1} failContinuous is true
2025-03-23 00:25:18.824 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2025-03-23 00:25:37.519 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 1.8.0_261 on DESKTOP-9CD04US with PID 16940 (S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backendProject\backend-Api\target\classes started by FUCHI in S:\TestProject\统计\36-springboot+vue旅游管理系统(带文档)\源码+数据库\backendProject\backend-Api)
2025-03-23 00:25:37.522 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2025-03-23 00:25:37.591 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-03-23 00:25:37.592 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-03-23 00:25:38.242 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-03-23 00:25:38.244 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-03-23 00:25:38.271 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17 ms. Found 0 Redis repository interfaces.
