2025-04-07 11:16:04.234 [restartedMain] INFO  com.cow.horse.BackendApplication - Starting BackendApplication using Java 17.0.14 on admindeMac-mini.local with PID 4346 (/Users/admin/AndroidStudioProjects/bj_trip_server/backend-Api/target/classes started by admin in /Users/admin/AndroidStudioProjects/bj_trip_server/backend-Api)
2025-04-07 11:16:04.236 [restartedMain] INFO  com.cow.horse.BackendApplication - The following profiles are active: dev
2025-04-07 11:16:04.254 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-04-07 11:16:04.254 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-04-07 11:16:04.478 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2025-04-07 11:16:04.479 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-04-07 11:16:04.489 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-04-07 11:16:04.703 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-04-07 11:16:04.706 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-07 11:16:04.707 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-07 11:16:04.707 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
2025-04-07 11:16:04.728 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-07 11:16:04.728 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 474 ms
2025-04-07 11:16:04.854 [restartedMain] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-04-07 11:16:05.286 [restartedMain] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-07 11:16:05.514 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2025-04-07 11:16:05.595 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2025-04-07 11:16:05.612 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-07 11:16:05.623 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-07 11:16:05.627 [restartedMain] INFO  com.cow.horse.BackendApplication - Started BackendApplication in 1.543 seconds (JVM running for 6.852)
2025-04-07 11:16:05.628 [restartedMain] INFO  com.cow.horse.BackendApplication - =====================项目后端启动成功============================
2025-04-07 11:16:09.776 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-04-07 11:16:09.946 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-04-07 11:16:09.951 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2025-04-07 16:24:39.488 [http-nio-8080-exec-15] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2025-04-07 16:24:53.722 [http-nio-8080-exec-25] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2025-04-07 16:42:01.018 [http-nio-8080-exec-14] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[update]...
2025-04-07 16:42:01.039 [http-nio-8080-exec-14] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
2025-04-07 16:43:08.680 [http-nio-8080-exec-45] INFO  com.cow.horse.handle.MyMetaObjectHandler - 公共字段自动填充[insert]...
